City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Te Anau,-45.42,167.72,59.02,56,32,3.29,NZ,2020-11-06 01:13:15
131,Libreville,0.39,9.45,80.6,88,40,6.93,GA,2020-11-06 01:13:15
132,Srednekolymsk,67.45,153.68,21.69,97,100,21.81,RU,2020-11-06 01:13:15
133,Atikokan,48.76,-91.62,47.5,72,100,11.99,CA,2020-11-06 01:13:16
134,Maragogi,-9.01,-35.22,77.34,86,50,7.54,BR,2020-11-06 01:13:16
135,Atuona,-9.8,-139.03,78.91,74,6,19.86,PF,2020-11-06 01:13:16
136,Alta Floresta,-9.88,-56.09,77.83,63,100,3.42,BR,2020-11-06 01:13:16
137,Bambous Virieux,-20.34,57.76,71.6,83,75,8.05,MU,2020-11-06 01:13:16
138,Pitsunda,43.16,40.34,59.0,87,90,6.71,GE,2020-11-06 01:13:16
139,Souillac,-20.52,57.52,71.6,83,75,8.05,MU,2020-11-06 01:13:16
140,Lembeni,-3.78,37.62,67.08,86,74,4.43,TZ,2020-11-06 01:13:16
141,Brae,60.4,-1.35,51.8,87,100,31.09,GB,2020-11-06 01:13:16
142,Pahalgam,34.03,75.33,36.41,68,0,6.38,IN,2020-11-06 01:13:16
143,Araouane,18.9,-3.53,84.13,18,1,7.45,ML,2020-11-06 01:13:16
144,Sayyan,15.17,44.32,46.69,46,29,1.95,YE,2020-11-06 01:13:16
145,Beringovskiy,63.05,179.32,36.86,92,100,14.56,RU,2020-11-06 01:09:40
146,Bethel,41.37,-73.41,55.99,76,1,6.26,US,2020-11-06 01:13:17
147,Sibolga,1.74,98.78,81.72,66,80,1.81,ID,2020-11-06 01:13:17
148,Lebu,-37.62,-73.65,51.57,77,0,21.92,CL,2020-11-06 01:13:17
149,Hukuntsi,-24.0,21.75,72.81,27,0,7.92,BW,2020-11-06 01:13:17
150,Dom Pedro,-4.48,-44.45,75.36,94,100,2.89,BR,2020-11-06 01:09:11
151,Aswan,24.09,32.91,65.17,63,0,9.06,EG,2020-11-06 01:13:17
