City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
370,Gamboula,4.12,15.14,71.94,78,26,1.07,scattered clouds
371,Pekan,3.48,103.4,77.0,94,20,4.7,few clouds
372,Asau,46.43,26.4,37.4,100,0,4.7,clear sky
373,Zatoka,46.07,30.47,46.4,61,75,4.47,broken clouds
374,Manta,-0.95,-80.73,80.6,69,75,8.05,broken clouds
375,Maragogi,-9.01,-35.22,78.19,79,0,9.22,clear sky
376,Gazojak,41.19,61.4,30.49,86,0,4.94,clear sky
377,Evensk,61.95,159.23,1.02,85,13,10.42,few clouds
378,Beyneu,45.32,55.2,30.16,87,89,3.58,overcast clouds
379,Camacha,33.08,-16.33,68.0,82,40,9.17,scattered clouds
380,Huilong,31.81,121.66,60.01,85,0,5.17,clear sky
381,Alofi,-19.06,-169.92,78.8,83,75,14.99,broken clouds
382,Rocky Mountain House,52.37,-114.92,24.8,62,84,2.24,broken clouds
383,Muros,42.78,-9.06,57.99,88,100,7.31,overcast clouds
384,Batemans Bay,-35.72,150.18,64.0,97,84,2.68,broken clouds
385,Gafanha Da Encarnacao,40.62,-8.73,60.01,86,99,1.19,overcast clouds
386,Saint Anthony,45.02,-93.22,28.99,74,90,6.93,overcast clouds
387,Svetlaya,46.54,138.33,42.67,77,99,9.37,overcast clouds
388,Maridi,4.92,29.47,71.35,74,28,2.73,scattered clouds
389,San Juan De Uraba,8.76,-76.53,84.02,70,51,7.56,broken clouds
390,Bathsheba,13.22,-59.52,86.0,70,20,12.75,few clouds
391,Leua,48.22,18.61,46.0,95,100,1.99,overcast clouds
392,Hambantota,6.12,81.12,78.35,83,91,4.09,overcast clouds
393,Leningradskiy,69.38,178.42,17.78,94,100,8.57,light snow
394,Atar,20.52,-13.05,85.98,14,99,8.84,overcast clouds
395,Luderitz,-26.65,15.16,63.19,69,0,1.77,clear sky
